chapter,paragraph,matched_words,start_char,end_char
1,"“You have no business to take our books; you are a dependent, mama says; you have no money; your father left you none; you ought to beg, and not to live here with gentlemen’s children like us, and eat the same meals we do, and wear clothes at our mama’s expense. Now, I’ll teach you to rummage my bookshelves: for they _are_ mine; all the house belongs to me, or will do in a few years. Go and stand by the door, out of the way of the mirror and the windows.”","['eat', 'meals']",8678,9137
2,"“Unjust!—unjust!” said my reason, forced by the agonising stimulus into precocious though transitory power: and Resolve, equally wrought up, instigated some strange expedient to achieve escape from insupportable oppression—as running away, or, if that could not be effected, never eating or drinking more, and letting myself die.",['eating'],8323,8652
3,"“Would you like to drink, or could you eat anything?”",['eat'],2197,2250
3,"Bessie had been down into the kitchen, and she brought up with her a tart on a certain brightly painted china plate, whose bird of paradise, nestling in a wreath of convolvuli and rosebuds, had been wont to stir in me a most enthusiastic sense of admiration; and which plate I had often petitioned to be allowed to take in my hand in order to examine it more closely, but had always hitherto been deemed unworthy of such a privilege. This precious vessel was now placed on my knee, and I was cordially invited to eat the circlet of delicate pastry upon it. Vain favour! coming, like most other favours long deferred and often wished for, too late! I could not eat the tart; and the plumage of the bird, the tints of the flowers, seemed strangely faded: I put both plate and tart away. Bessie asked if I would have a book: the word _book_ acted as a transient stimulus, and I begged her to fetch Gulliver’s Travels from the library. This book I had again and again perused with delight. I considered it a narrative of facts, and discovered in it a vein of interest deeper than what I found in fairy tales: for as to the elves, having sought them in vain among foxglove leaves and bells, under mushrooms and beneath the ground-ivy mantling old wall-nooks, I had at length made up my mind to the sad truth, that they were all gone out of England to some savage country where the woods were wilder and thicker, and the population more scant; whereas, Lilliput and Brobdignag being, in my creed, solid parts of the earth’s surface, I doubted not that I might one day, by taking a long voyage, see with my own eyes the little fields, houses, and trees, the diminutive people, the tiny cows, sheep, and birds of the one realm; and the corn-fields forest-high, the mighty mastiffs, the monster cats, the tower-like men and women, of the other. Yet, when this cherished volume was now placed in my hand—when I turned over its leaves, and sought in its marvellous pictures the charm I had, till now, never failed to find—all was eerie and dreary; the giants were gaunt goblins, the pigmies malevolent and fearful imps, Gulliver a most desolate wanderer in most dread and dangerous regions. I closed the book, which I dared no longer peruse, and put it on the table, beside the untasted tart.","['eat', 'eat']",4838,7119
3,"Bessie would rather have stayed, but she was obliged to go, because punctuality at meals was rigidly enforced at Gateshead Hall.",['meals'],10759,10887
3,"I reflected. Poverty looks grim to grown people; still more so to children: they have not much idea of industrious, working, respectable poverty; they think of the word only as connected with ragged clothes, scanty food, fireless grates, rude manners, and debasing vices: poverty for me was synonymous with degradation.",['food'],13145,13464
4,"From my discourse with Mr. Lloyd, and from the above reported conference between Bessie and Abbot, I gathered enough of hope to suffice as a motive for wishing to get well: a change seemed near,—I desired and waited it in silence. It tarried, however: days and weeks passed: I had regained my normal state of health, but no new allusion was made to the subject over which I brooded. Mrs. Reed surveyed me at times with a severe eye, but seldom addressed me: since my illness, she had drawn a more marked line of separation than ever between me and her own children; appointing me a small closet to sleep in by myself, condemning me to take my meals alone, and pass all my time in the nursery, while my cousins were constantly in the drawing-room. Not a hint, however, did she drop about sending me to school: still I felt an instinctive certainty that she would not long endure me under the same roof with her; for her glance, now more than ever, when turned on me, expressed an insuperable and rooted aversion.",['meals'],0,1011
4,"“No? oh, shocking! I have a little boy, younger than you, who knows six Psalms by heart: and when you ask him which he would rather have, a gingerbread-nut to eat or a verse of a Psalm to learn, he says: ‘Oh! the verse of a Psalm! angels sing Psalms;’ says he, ‘I wish to be a little angel here below;’ he then gets two nuts in recompense for his infant piety.”",['eat'],15615,15976
4,"All at once I heard a clear voice call, “Miss Jane! where are you? Come to lunch!”",['lunch'],28724,28806
5,"Five o’clock had hardly struck on the morning of the 19th of January, when Bessie brought a candle into my closet and found me already up and nearly dressed. I had risen half-an-hour before her entrance, and had washed my face, and put on my clothes by the light of a half-moon just setting, whose rays streamed through the narrow window near my crib. I was to leave Gateshead that day by a coach which passed the lodge gates at six A.M. Bessie was the only person yet risen; she had lit a fire in the nursery, where she now proceeded to make my breakfast. Few children can eat when excited with the thoughts of a journey; nor could I. Bessie, having pressed me in vain to take a few spoonfuls of the boiled milk and bread she had prepared for me, wrapped up some biscuits in a paper and put them into my bag; then she helped me on with my pelisse and bonnet, and wrapping herself in a shawl, she and I left the nursery. As we passed Mrs. Reed’s bedroom, she said, “Will you go in and bid Missis good-bye?”",['eat'],0,1006
5,"The tall girls went out and returned presently, each bearing a tray, with portions of something, I knew not what, arranged thereon, and a pitcher of water and mug in the middle of each tray. The portions were handed round; those who liked took a draught of the water, the mug being common to all. When it came to my turn, I drank, for I was thirsty, but did not touch the food, excitement and fatigue rendering me incapable of eating: I now saw, however, that it was a thin oaten cake shared into fragments.","['food', 'eating']",8492,8999
5,"The meal over, prayers were read by Miss Miller, and the classes filed off, two and two, upstairs. Overpowered by this time with weariness, I scarcely noticed what sort of a place the bedroom was, except that, like the schoolroom, I saw it was very long. To-night I was to be Miss Miller’s bed-fellow; she helped me to undress: when laid down I glanced at the long rows of beds, each of which was quickly filled with two occupants; in ten minutes the single light was extinguished, and amidst silence and complete darkness I fell asleep.",['meal'],9001,9538
5,"Business now began: the day’s Collect was repeated, then certain texts of Scripture were said, and to these succeeded a protracted reading of chapters in the Bible, which lasted an hour. By the time that exercise was terminated, day had fully dawned. The indefatigable bell now sounded for the fourth time: the classes were marshalled and marched into another room to breakfast: how glad I was to behold a prospect of getting something to eat! I was now nearly sick from inanition, having taken so little the day before.",['eat'],11188,11708
5,"“Silence!” ejaculated a voice; not that of Miss Miller, but one of the upper teachers, a little and dark personage, smartly dressed, but of somewhat morose aspect, who installed herself at the top of one table, while a more buxom lady presided at the other. I looked in vain for her I had first seen the night before; she was not visible: Miss Miller occupied the foot of the table where I sat, and a strange, foreign-looking, elderly lady, the French teacher, as I afterwards found, took the corresponding seat at the other board. A long grace was said and a hymn sung; then a servant brought in some tea for the teachers, and the meal began.",['meal'],12145,12788
5,"Ravenous, and now very faint, I devoured a spoonful or two of my portion without thinking of its taste; but the first edge of hunger blunted, I perceived I had got in hand a nauseous mess; burnt porridge is almost as bad as rotten potatoes; famine itself soon sickens over it. The spoons were moved slowly: I saw each girl taste her food and try to swallow it; but in most cases the effort was soon relinquished. Breakfast was over, and none had breakfasted. Thanks being returned for what we had not got, and a second hymn chanted, the refectory was evacuated for the schoolroom. I was one of the last to go out, and in passing the tables, I saw one teacher take a basin of the porridge and taste it; she looked at the others; all their countenances expressed displeasure, and one of them, the stout one, whispered—",['food'],12790,13606
5,“You had this morning a breakfast which you could not eat; you must be hungry:—I have ordered that a lunch of bread and cheese shall be served to all.”,"['eat', 'lunch']",18197,18348
5,"“To Miss Temple? Oh, no! I wish it did: she has to answer to Mr. Brocklehurst for all she does. Mr. Brocklehurst buys all our food and all our clothes.”",['food'],24061,24213
5,"But at that moment the summons sounded for dinner; all re-entered the house. The odour which now filled the refectory was scarcely more appetising than that which had regaled our nostrils at breakfast: the dinner was served in two huge tin-plated vessels, whence rose a strong steam redolent of rancid fat. I found the mess to consist of indifferent potatoes and strange shreds of rusty meat, mixed and cooked together. Of this preparation a tolerably abundant plateful was apportioned to each pupil. I ate what I could, and wondered within myself whether every day’s fare would be like this.",['meat'],25533,26125
5,"Soon after five P.M. we had another meal, consisting of a small mug of coffee, and half-a-slice of brown bread. I devoured my bread and drank my coffee with relish; but I should have been glad of as much more—I was still hungry. Half-an-hour’s recreation succeeded, then study; then the glass of water and the piece of oat-cake, prayers, and bed. Such was my first day at Lowood.",['meal'],27370,27749
7,"During January, February, and part of March, the deep snows, and, after their melting, the almost impassable roads, prevented our stirring beyond the garden walls, except to go to church; but within these limits we had to pass an hour every day in the open air. Our clothing was insufficient to protect us from the severe cold: we had no boots, the snow got into our shoes and melted there: our ungloved hands became numbed and covered with chilblains, as were our feet: I remember well the distracting irritation I endured from this cause every evening, when my feet inflamed; and the torture of thrusting the swelled, raw, and stiff toes into my shoes in the morning. Then the scanty supply of food was distressing: with the keen appetites of growing children, we had scarcely sufficient to keep alive a delicate invalid. From this deficiency of nourishment resulted an abuse, which pressed hardly on the younger pupils: whenever the famished great girls had an opportunity, they would coax or menace the little ones out of their portion. Many a time I have shared between two claimants the precious morsel of brown bread distributed at tea-time; and after relinquishing to a third half the contents of my mug of coffee, I have swallowed the remainder with an accompaniment of secret tears, forced from me by the exigency of hunger.",['food'],303,1637
7,"Sundays were dreary days in that wintry season. We had to walk two miles to Brocklebridge Church, where our patron officiated. We set out cold, we arrived at church colder: during the morning service we became almost paralysed. It was too far to return to dinner, and an allowance of cold meat and bread, in the same penurious proportion observed in our ordinary meals, was served round between the services.","['meat', 'meals']",1639,2047
7,"A little solace came at tea-time, in the shape of a double ration of bread—a whole, instead of a half, slice—with the delicious addition of a thin scrape of butter: it was the hebdomadal treat to which we all looked forward from Sabbath to Sabbath. I generally contrived to reserve a moiety of this bounteous repast for myself; but the remainder I was invariably obliged to part with.",['delicious'],2970,3354
7,"“Well, for once it may pass; but please not to let the circumstance occur too often. And there is another thing which surprised me; I find, in settling accounts with the housekeeper, that a lunch, consisting of bread and cheese, has twice been served out to the girls during the past fortnight. How is this? I looked over the regulations, and I find no such meal as lunch mentioned. Who introduced this innovation? and by what authority?”","['lunch', 'meal', 'lunch']",7420,7858
7,"“I must be responsible for the circumstance, sir,” replied Miss Temple: “the breakfast was so ill prepared that the pupils could not possibly eat it; and I dared not allow them to remain fasting till dinner-time.”",['eat'],7860,8073
7,"“Madam, allow me an instant. You are aware that my plan in bringing up these girls is, not to accustom them to habits of luxury and indulgence, but to render them hardy, patient, self-denying. Should any little accidental disappointment of the appetite occur, such as the spoiling of a meal, the under or the over dressing of a dish, the incident ought not to be neutralised by replacing with something more delicate the comfort lost, thus pampering the body and obviating the aim of this institution; it ought to be improved to the spiritual edification of the pupils, by encouraging them to evince fortitude under the temporary privation. A brief address on those occasions would not be mistimed, wherein a judicious instructor would take the opportunity of referring to the sufferings of the primitive Christians; to the torments of martyrs; to the exhortations of our blessed Lord Himself, calling upon His disciples to take up their cross and follow Him; to His warnings that man shall not live by bread alone, but by every word that proceedeth out of the mouth of God; to His divine consolations, ‘If ye suffer hunger or thirst for My sake, happy are ye.’ Oh, madam, when you put bread and cheese, instead of burnt porridge, into these children’s mouths, you may indeed feed their vile bodies, but you little think how you starve their immortal souls!”",['meal'],8075,9433
8,"“Come, eat something,” she said; but I put both away from me, feeling as if a drop or a crumb would have choked me in my present condition. Helen regarded me, probably with surprise: I could not now abate my agitation, though I tried hard; I continued to weep aloud. She sat down on the ground near me, embraced her knees with her arms, and rested her head upon them; in that attitude she remained silent as an Indian. I was the first who spoke—",['eat'],1387,1832
8,"Having invited Helen and me to approach the table, and placed before each of us a cup of tea with one delicious but thin morsel of toast, she got up, unlocked a drawer, and taking from it a parcel wrapped in paper, disclosed presently to our eyes a good-sized seed-cake.",['delicious'],10064,10334
8,"The refreshing meal, the brilliant fire, the presence and kindness of her beloved instructress, or, perhaps, more than all these, something in her own unique mind, had roused her powers within her. They woke, they kindled: first, they glowed in the bright tint of her cheek, which till this hour I had never seen but pale and bloodless; then they shone in the liquid lustre of her eyes, which had suddenly acquired a beauty more singular than that of Miss Temple’s—a beauty neither of fine colour nor long eyelash, nor pencilled brow, but of meaning, of movement, of radiance. Then her soul sat on her lips, and language flowed, from what source I cannot tell. Has a girl of fourteen a heart large enough, vigorous enough, to hold the swelling spring of pure, full, fervid eloquence? Such was the characteristic of Helen’s discourse on that, to me, memorable evening; her spirit seemed hastening to live within a very brief span as much as many live during a protracted existence.",['meal'],11360,12340
9,"But I, and the rest who continued well, enjoyed fully the beauties of the scene and season; they let us ramble in the wood, like gipsies, from morning till night; we did what we liked, went where we liked: we lived better too. Mr. Brocklehurst and his family never came near Lowood now: household matters were not scrutinised into; the cross housekeeper was gone, driven away by the fear of infection; her successor, who had been matron at the Lowton Dispensary, unused to the ways of her new abode, provided with comparative liberality. Besides, there were fewer to feed; the sick could eat little; our breakfast-basins were better filled; when there was no time to prepare a regular dinner, which often happened, she would give us a large piece of cold pie, or a thick slice of bread and cheese, and this we carried away with us to the wood, where we each chose the spot we liked best, and dined sumptuously.",['eat'],4930,5840
10,"When the typhus fever had fulfilled its mission of devastation at Lowood, it gradually disappeared from thence; but not till its virulence and the number of its victims had drawn public attention on the school. Inquiry was made into the origin of the scourge, and by degrees various facts came out which excited public indignation in a high degree. The unhealthy nature of the site; the quantity and quality of the children’s food; the brackish, fetid water used in its preparation; the pupils’ wretched clothing and accommodations—all these things were discovered, and the discovery produced a result mortifying to Mr. Brocklehurst, but beneficial to the institution.",['food'],425,1093
10,"Several wealthy and benevolent individuals in the county subscribed largely for the erection of a more convenient building in a better situation; new regulations were made; improvements in diet and clothing introduced; the funds of the school were intrusted to the management of a committee. Mr. Brocklehurst, who, from his wealth and family connections, could not be overlooked, still retained the post of treasurer; but he was aided in the discharge of his duties by gentlemen of rather more enlarged and sympathising minds: his office of inspector, too, was shared by those who knew how to combine reason with strictness, comfort with economy, compassion with uprightness. The school, thus improved, became in time a truly useful and noble institution. I remained an inmate of its walls, after its regeneration, for eight years: six as pupil, and two as teacher; and in both capacities I bear my testimony to its value and importance.",['diet'],1095,2032
10,"Various duties awaited me on my arrival: I had to sit with the girls during their hour of study; then it was my turn to read prayers; to see them to bed: afterwards I supped with the other teachers. Even when we finally retired for the night, the inevitable Miss Gryce was still my companion: we had only a short end of candle in our candlestick, and I dreaded lest she should talk till it was all burnt out; fortunately, however, the heavy supper she had eaten produced a soporific effect: she was already snoring before I had finished undressing. There still remained an inch of candle: I now took out my letter; the seal was an initial F.; I broke it; the contents were brief.",['eaten'],12446,13125
16,“You’ll have some meat?”,['meat'],6616,6640
16,“True: yet I should scarcely fancy Mr. Rochester would entertain an idea of the sort. But you eat nothing: you have scarcely tasted since you began tea.”,['eat'],16529,16682
16,“No: I am too thirsty to eat. Will you let me have another cup?”,['eat'],16684,16748
17,"The three days were, as she had foretold, busy enough. I had thought all the rooms at Thornfield beautifully clean and well arranged; but it appears I was mistaken. Three women were got to help; and such scrubbing, such brushing, such washing of paint and beating of carpets, such taking down and putting up of pictures, such polishing of mirrors and lustres, such lighting of fires in bedrooms, such airing of sheets and feather-beds on hearths, I never beheld, either before or since. Adèle ran quite wild in the midst of it: the preparations for company and the prospect of their arrival, seemed to throw her into ecstasies. She would have Sophie to look over all her “toilettes,” as she called frocks; to furbish up any that were “_passées_,” and to air and arrange the new. For herself, she did nothing but caper about in the front chambers, jump on and off the bedsteads, and lie on the mattresses and piled-up bolsters and pillows before the enormous fires roaring in the chimneys. From school duties she was exonerated: Mrs. Fairfax had pressed me into her service, and I was all day in the storeroom, helping (or hindering) her and the cook; learning to make custards and cheese-cakes and French pastry, to truss game and garnish desert-dishes.",['dishes'],3438,4691
17,"The party were expected to arrive on Thursday afternoon, in time for dinner at six. During the intervening period I had no time to nurse chimeras; and I believe I was as active and gay as anybody—Adèle excepted. Still, now and then, I received a damping check to my cheerfulness; and was, in spite of myself, thrown back on the region of doubts and portents, and dark conjectures. This was when I chanced to see the third-storey staircase door (which of late had always been kept locked) open slowly, and give passage to the form of Grace Poole, in prim cap, white apron, and handkerchief; when I watched her glide along the gallery, her quiet tread muffled in a list slipper; when I saw her look into the bustling, topsy-turvy bedrooms,—just say a word, perhaps, to the charwoman about the proper way to polish a grate, or clean a marble mantelpiece, or take stains from papered walls, and then pass on. She would thus descend to the kitchen once a day, eat her dinner, smoke a moderate pipe on the hearth, and go back, carrying her pot of porter with her, for her private solace, in her own gloomy, upper haunt. Only one hour in the twenty-four did she pass with her fellow-servants below; all the rest of her time was spent in some low-ceiled, oaken chamber of the second storey: there she sat and sewed—and probably laughed drearily to herself,—as companionless as a prisoner in his dungeon.",['eat'],4693,6088
17,"“Well now, while the ladies are in their rooms, I will venture down and get you something to eat.”",['eat'],11854,11952
17,"And issuing from my asylum with precaution, I sought a back-stairs which conducted directly to the kitchen. All in that region was fire and commotion; the soup and fish were in the last stage of projection, and the cook hung over her crucibles in a frame of mind and body threatening spontaneous combustion. In the servants’ hall two coachmen and three gentlemen’s gentlemen stood or sat round the fire; the abigails, I suppose, were upstairs with their mistresses; the new servants, that had been hired from Millcote, were bustling about everywhere. Threading this chaos, I at last reached the larder; there I took possession of a cold chicken, a roll of bread, some tarts, a plate or two and a knife and fork: with this booty I made a hasty retreat. I had regained the gallery, and was just shutting the back-door behind me, when an accelerated hum warned me that the ladies were about to issue from their chambers. I could not proceed to the schoolroom without passing some of their doors, and running the risk of being surprised with my cargo of victualage; so I stood still at this end, which, being windowless, was dark: quite dark now, for the sun was set and twilight gathering.",['soup'],11954,13140
17,"No sooner did I see that his attention was riveted on them, and that I might gaze without being observed, than my eyes were drawn involuntarily to his face; I could not keep their lids under control: they would rise, and the irids would fix on him. I looked, and had an acute pleasure in looking,—a precious yet poignant pleasure; pure gold, with a steely point of agony: a pleasure like what the thirst-perishing man might feel who knows the well to which he has crept is poisoned, yet stoops and drinks divine draughts nevertheless.",['drinks'],29535,30069
17,“But my curiosity will be past its appetite; it craves food now.”,['food'],36184,36249
20,"“Now, my little friend, while the sun drinks the dew—while all the flowers in this old garden awake and expand, and the birds fetch their young ones’ breakfast out of the Thornfield, and the early bees do their first spell of work—I’ll put a case to you, which you must endeavour to suppose your own: but first, look at me, and tell me you are at ease, and not fearing that I err in detaining you, or that you err in staying.”",['drinks'],26755,27181
