chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
1,SOUND,hear,"Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.”",906,1395
1,SOUND,blast,"Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.",2284,2458
1,SOUND,voice,“Boh! Madam Mope!” cried the voice of John Reed; then he paused: he found the room apparently empty.,5287,5389
1,SOUND,hear,"There were moments when I was bewildered by the terror he inspired, because I had no appeal whatever against either his menaces or his inflictions; the servants did not like to offend their young master by taking my part against him, and Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back.",7266,7695
1,SOUND,hear,"Did you hear her, Eliza and Georgiana?",9879,9917
1,SOUND,hear,I heard the words— “Dear!,10568,10594
2,SOUND,voice,"“What we tell you is for your good,” added Bessie, in no harsh voice, “you should try to be useful and pleasant, then, perhaps, you would have a home here; but if you become passionate and rude, Missis will send you away, I am sure.” “Besides,” said Miss Abbot, “God will punish her: He might strike her dead in the midst of her tantrums, and then where would she go?",2756,3124
2,SOUND,discord,"I was a discord in Gateshead Hall: I was like nobody there; I had nothing in harmony with Mrs. Reed or her children, or her chosen vassalage.",9001,9142
2,SOUND,hear,"I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.",10060,10240
2,SOUND,howl,"I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.",10060,10240
2,SOUND,hear,"I doubted not—never doubted—that if Mr. Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls—occasionally also turning a fascinated eye towards the dimly gleaming mirror—I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought Mr. Reed’s spirit, harassed by the wrongs of his sister’s child, might quit its abode—whether in the church vault or in the unknown world of the departed—and rise before me in this chamber.",11520,12141
2,SOUND,voice,"I wiped my tears and hushed my sobs, fearful lest any sign of violent grief might waken a preternatural voice to comfort me, or elicit from the gloom some haloed face, bending over me with strange pity.",12142,12344
2,SOUND,sound,"My heart beat thick, my head grew hot; a sound filled my ears, which I deemed the rushing of wings; something seemed near me; I was oppressed, suffocated: endurance broke down; I rushed to the door and shook the lock in desperate effort.",13134,13371
2,SOUND,noise,“What a dreadful noise!,13499,13522
2,SOUND,scream,"“She has screamed out on purpose,” declared Abbot, in some disgust.",13827,13895
2,SOUND,scream,“And what a scream!,13895,13914
2,SOUND,voice,"“What is all this?” demanded another voice peremptorily; and Mrs. Reed came along the corridor, her cap flying wide, her gown rustling stormily.",14043,14187
2,SOUND,scream,"“Abbot and Bessie, I believe I gave orders that Jane Eyre should be left in the red-room till I came to her myself.” “Miss Jane screamed so loud, ma’am,” pleaded Bessie.",14188,14360
2,SOUND,hear,"I heard her sweeping away; and soon after she was gone, I suppose I had a species of fit: unconsciousness closed the scene.",15216,15339
3,SOUND,hear,"I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all-predominating sense of terror confused my faculties.",168,352
3,SOUND,voice,"I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all-predominating sense of terror confused my faculties.",168,352
3,SOUND,sound,"I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all-predominating sense of terror confused my faculties.",168,352
3,SOUND,hear,"I heard her say— “Sarah, come and sleep with me in the nursery; I daren’t for my life be alone with that poor child to-night: she might die; it’s such a strange thing she should have that fit: I wonder if she saw anything.",2661,2884
3,SOUND,strain,"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and mind were alike strained by dread: such dread as children only can feel.",3396,3554
3,SOUND,hear,"I had often heard the song before, and always with lively delight; for Bessie had a sweet voice,—at least, I thought so.",7429,7549
3,SOUND,voice,"But now, though her voice was still sweet, I found in its melody an indescribable sadness.",7550,7641
3,SOUND,melody,"But now, though her voice was still sweet, I found in its melody an indescribable sadness.",7550,7641
3,SOUND,listen,"She boasted of beautiful paintings of landscapes and flowers by them executed; of songs they could sing and pieces they could play, of purses they could net, of French books they could translate; till my spirit was moved to emulation as I listened.",14739,14987
3,SOUND,hear,Bessie now returned; at the same moment the carriage was heard rolling up the gravel-walk.,15393,15485
3,SOUND,hear,"Bessie, when she heard this narrative, sighed and said, “Poor Miss Jane is to be pitied, too, Abbot.”",16936,17039
3,SOUND,sigh,"Bessie, when she heard this narrative, sighed and said, “Poor Miss Jane is to be pitied, too, Abbot.”",16936,17039
4,SOUND,hear,"I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly— “Don’t talk to me about her, John: I told you not to go near her; she is not worthy of notice; I do not choose that either you or your sisters should associate with her.” Here, leaning over the banister, I cried out suddenly, and without at all deliberating on my words— “They are not fit to associate with me.”",1692,2153
4,SOUND,tone,"I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly— “Don’t talk to me about her, John: I told you not to go near her; she is not worthy of notice; I do not choose that either you or your sisters should associate with her.” Here, leaning over the banister, I cried out suddenly, and without at all deliberating on my words— “They are not fit to associate with me.”",1692,2153
4,SOUND,hear,"Mrs. Reed was rather a stout woman; but, on hearing this strange and audacious declaration, she ran nimbly up the stair, swept me like a whirlwind into the nursery, and crushing me down on the edge of my crib, dared me in an emphatic voice to rise from that place, or utter one syllable during the remainder of the day.",2153,2474
4,SOUND,voice,"Mrs. Reed was rather a stout woman; but, on hearing this strange and audacious declaration, she ran nimbly up the stair, swept me like a whirlwind into the nursery, and crushing me down on the edge of my crib, dared me in an emphatic voice to rise from that place, or utter one syllable during the remainder of the day.",2153,2474
4,SOUND,utterance,"I say scarcely voluntary, for it seemed as if my tongue pronounced words without my will consenting to their utterance: something spoke out of me over which I had no control.",2562,2738
4,SOUND,breath,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SOUND,listen,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,sound,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,hum,"From every enjoyment I was, of course, excluded: my share of the gaiety consisted in witnessing the daily apparelling of Eliza and Georgiana, and seeing them descend to the drawing-room, dressed out in thin muslin frocks and scarlet sashes, with hair elaborately ringletted; and afterwards, in listening to the sound of the piano or the harp played below, to the passing to and fro of the butler and footman, to the jingling of glass and china as refreshments were handed, to the broken hum of conversation as the drawing-room door opened and closed.",3721,4271
4,SOUND,listen,"Long did the hours seem while I waited the departure of the company, and listened for the sound of Bessie’s step on the stairs: sometimes she would come up in the interval to seek her thimble or her scissors, or perhaps to bring me something by way of supper—a bun or a cheese-cake—then she would sit on the bed while I ate it, and when I had finished, she would tuck the clothes round me, and twice she kissed me, and said, “Good night, Miss Jane.”",5782,6231
4,SOUND,sound,"Long did the hours seem while I waited the departure of the company, and listened for the sound of Bessie’s step on the stairs: sometimes she would come up in the interval to seek her thimble or her scissors, or perhaps to bring me something by way of supper—a bun or a cheese-cake—then she would sit on the bed while I ate it, and when I had finished, she would tuck the clothes round me, and twice she kissed me, and said, “Good night, Miss Jane.”",5782,6231
4,SOUND,listen,"You look quite red, as if you had been about some mischief: what were you opening the window for?” I was spared the trouble of answering, for Bessie seemed in too great a hurry to listen to explanations; she hauled me to the washstand, inflicted a merciless, but happily brief scrub on my face and hands with soap, water, and a coarse towel; disciplined my head with a bristly brush, denuded me of my pinafore, and then hurrying me to the top of the stairs, bid me go down directly, as I was wanted in the breakfast-room.",10661,11185
4,SOUND,voice,"Mrs. Reed occupied her usual seat by the fireside; she made a signal to me to approach; I did so, and she introduced me to the stony stranger with the words: “This is the little girl respecting whom I applied to you.” _He_, for it was a man, turned his head slowly towards where I stood, and having examined me with the two inquisitive-looking grey eyes which twinkled under a pair of bushy brows, said solemnly, and in a bass voice, “Her size is small: what is her age?” “Ten years.” “So much?” was the doubtful answer; and he prolonged his scrutiny for some minutes.",12515,13086
4,SOUND,hear,“Sorry indeed to hear it!,13648,13673
4,SOUND,sigh,"It is to be feared the same could not be said of you were you to be called hence.” Not being in a condition to remove his doubt, I only cast my eyes down on the two large feet planted on the rug, and sighed, wishing myself far enough away.",14721,14963
4,SOUND,sigh,"“I hope that sigh is from the heart, and that you repent of ever having been the occasion of discomfort to your excellent benefactress.” “Benefactress! benefactress!” said I inwardly: “they all call Mrs. Reed my benefactress; if so, a benefactress is a disagreeable thing.”",14963,15239
4,SOUND,sound,"Mrs. Reed might be at that time some six or seven and thirty; she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese: she had a somewhat large face, the under jaw being much developed and very solid; her brow was low, her chin large and prominent, mouth and nose sufficiently regular; under her light eyebrows glimmered an eye devoid of ruth; her skin was dark and opaque, her hair nearly flaxen; her constitution was sound as a bell—illness never came near her; she was an exact, clever manager; her household and tenantry were thoroughly under her control; her children only at times defied her authority and laughed it to scorn; she dressed well, and had a presence and port calculated to set off handsome attire.",21063,21835
4,SOUND,hear,"What had just passed; what Mrs. Reed had said concerning me to Mr. Brocklehurst; the whole tenor of their conversation, was recent, raw, and stinging in my mind; I had felt every word as acutely as I had heard it plainly, and a passion of resentment fomented now within me.",22086,22361
4,SOUND,tone,"she asked, rather in the tone in which a person might address an opponent of adult age than such as is ordinarily used to a child.",23380,23512
4,SOUND,voice,"That eye of hers, that voice stirred every antipathy I had.",23512,23571
4,SOUND,voice,"I cried out in a savage, high voice.",25700,25738
4,SOUND,murmur,"“I will indeed send her to school soon,” murmured Mrs. Reed _sotto voce_; and gathering up her work, she abruptly quitted the apartment.",25962,26100
