chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
1,TOUCH,cold,"We had been wandering, indeed, in the leafless shrubbery an hour in the morning; but since dinner (Mrs. Reed, when there was no company, dined early) the cold winter wind had brought with it clouds so sombre, and a rain so penetrating, that further outdoor exercise was now out of the question.",52,348
1,TOUCH,cold,"Nor could I pass unnoticed the suggestion of the bleak shores of Lapland, Siberia, Spitzbergen, Nova Zembla, Iceland, Greenland, with “the vast sweep of the Arctic Zone, and those forlorn regions of dreary space,—that reservoir of frost and snow, where firm fields of ice, the accumulation of centuries of winters, glazed in Alpine heights above heights, surround the pole, and concentre the multiplied rigours of extreme cold.”",3082,3510
1,TOUCH,cold,"The words in these introductory pages connected themselves with the succeeding vignettes, and gave significance to the rock standing up alone in a sea of billow and spray; to the broken boat stranded on a desolate coast; to the cold and ghastly moon glancing through bars of cloud at a wreck just sinking.",3683,3990
1,TOUCH,tremble,"And I came out immediately, for I trembled at the idea of being dragged forth by the said Jack.",5856,5953
1,TOUCH,feel,but first—” He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed with a desperate thing.,9937,10052
1,TOUCH,grasp,but first—” He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed with a desperate thing.,9937,10052
1,TOUCH,feel,"I felt a drop or two of blood from my head trickle down my neck, and was sensible of somewhat pungent suffering: these sensations for the time predominated over fear, and I received him in frantic sort.",10095,10297
1,TOUCH,sensation,"I felt a drop or two of blood from my head trickle down my neck, and was sensible of somewhat pungent suffering: these sensations for the time predominated over fear, and I received him in frantic sort.",10095,10297
2,TOUCH,feel,"The fact is, I was a trifle beside myself; or rather _out_ of myself, as the French would say: I was conscious that a moment’s mutiny had already rendered me liable to strange penalties, and, like any other rebel slave, I felt resolved, in my desperation, to go all lengths.",162,438
2,TOUCH,hold,"“Hold her arms, Miss Abbot: she’s like a mad cat.” “For shame!",438,501
2,TOUCH,hold,"“Mind you don’t,” said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.",1439,1677
2,TOUCH,chill,"This room was chill, because it seldom had a fire; it was silent, because remote from the nursery and kitchen; solemn, because it was known to be so seldom entered.",4517,4681
